impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-175940,A723349,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2901582,LOST,,Dog,Over 1 year<p/>,Female,Jack Russell Terrier,White,"Jan 28, 2025",Date Lost,317 317,,,317,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2901582,Image Copyright HLP Inc. 2025,"Description: Kaju is a rescued dog still terrified <p/>Age: Over 1 year<p/>Location Lost: 317 , Auburn WA  98092<p/>Lost Date: 2025-01-28<p/>",
K25-176232,A724001,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2906239,LOST,Finn,Cat,Over 1 year<p/>,Male,Siamese,White,"Jan 22, 2025",Date Lost,11200 block of  SE 188TH PL,Renton,,98055,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2906239,Image Copyright HLP Inc. 2025,"Description: Finn is a 1.5 yr old longer hair Flame Point Siamese neutered male. He has been microchiped.  <p/>Age: Over 1 year<p/>Location Lost: 11219 Southeast 188th Place, Renton WA  98055<p/>Lost Date: 2025-01-22<p/>",
K25-176613,A724632,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724632,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Zorin,Dog,2 YEARS,Female,Belgian Malinois,Black,"Feb 25, 2025",Received on,25800 block of  74TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724632,Image Copyright HLP Inc. 2025,"Received on: 2025-02-25<p/> Found Near: 25800 block of  74TH AVE S<p/> Description: Black Female Belgian Malinois Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176677,A724768,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724768,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Aries,Cat,NO AGE,Male,Domestic Longhair,Brn Tabby / White,"Feb 28, 2025",Received on,700 block of  3RD AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724768,Image Copyright HLP Inc. 2025,"Received on: 2025-02-28<p/> Found Near: 700 block of  3RD AVE S<p/> Description: Brn Tabby / White Male Domestic Longhair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176711,A724814,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2912543,LOST,,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,"Feb 28, 2025",Date Lost,SE  416th St & 278th Way SE,King County,,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2912543,Image Copyright HLP Inc. 2025,"Description: Grey tabby, white chest - almost tuxedo white markings, mask<p/>Age: Over 1 year<p/>Location Lost: 416th and 278th Way SE, Enumclaw, Enumclaw WA  98022<p/>Lost Date: 2025-02-28<p/>",
K25-176602,A724617,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2910988,LOST,Prince,Dog,Under 1 year<p/>,Male,Pit Bull,Unknown,"Feb 24, 2025",Date Lost,34200 block of  1ST WAY S,Federal Way,,98003,FEDERAL WAY,47.294597,-122.331848,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2910988,Image Copyright HLP Inc. 2025,"Description: My Prince is a black with white spots! He's 7 months old and has an extra toe on each of his back paws! He has a collar with his name and my phone number on it! He's a very happy puppy who gets along well with everyone!<p/>Age: Under 1 year<p/>Location Lost: 34200 1st Way S , Federal Way WA  98023<p/>Lost Date: 2025-02-24<p/>",
K25-175733,A722948,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2898762,In Public Home,Winter,Dog,Unknown<p/>,Unknown,Bull Terrier,White,"Jan 20, 2025",Date Found,500 block of  Canton Aly S,Seattle,,98104,SEATTLE,47.598322,-122.323016,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2898762,Image Copyright HLP Inc. 2025,"<p/>Age: Unknown<p/>Found Near: 152nd macandan, Seattle WA  98188<p/>Found Date: 2025-01-20<p/>",
K25-176543,A724511,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724511,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Winnie,Cat,8 MONTHS,Female,Domestic Shorthair,Black / White,"Feb 23, 2025",Received on,38100 block of  44TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724511,Image Copyright HLP Inc. 2025,"Received on: 2025-02-23<p/> Found Near: 38100 block of  44TH AVE S<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176569,A724567,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Buddy,Cat,2 YEARS 6 MONTHS,Neutered Male,Domestic Longhair,Brn Tabby,"Feb 24, 2025",Received on,12800 block of  65TH AVE S,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724567,Image Copyright HLP Inc. 2025,Received on: 2025-02-24<p/> Found Near: 12800 block of  65TH AVE S<p/> Description: Brn Tabby Neutered Male Domestic Longhair Cat<p/> Age: 2 YEARS 6 MONTHS<p/> Current Location: In RASKC Foster Home <p/>,
K25-175909,A723301,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2901201,LOST,Emila,Cat,Over 1 year<p/>,Female,Domestic Longhair,Brown,"Jan 27, 2025",Date Lost,23300 block of  115TH PL SE,Kent,,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2901201,Image Copyright HLP Inc. 2025,"Description: She is fluffy! Golden fluff! And chunky and her head looks like a lions mane and she has green eyes and is a female!<p/>Age: Over 1 year<p/>Location Lost: 23309 115th pl SE, Kent WA  98031<p/>Lost Date: 2025-01-27<p/>",
K25-175983,A723444,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2902179,In Public Home,,Dog,Under 1 year<p/>,Male,Whippet,Brown,"Jan 31, 2025",Date Found,NE  14th St & 106th Ave NE,Bellevue,,98004,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2902179,Image Copyright HLP Inc. 2025,"Description: Small brown puppy, malnourished and skinny <p/>Age: Under 1 year<p/>Found Near: Northeast 14th Street and 106 Ave, Bellevue WA  98004<p/>Found Date: 2025-01-31<p/>",
K25-175884,A723244,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2900772,LOST,Leo,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,"Jan 24, 2025",Date Lost,272nd  Ave SE & SE 271st St,King County,,98051,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2900772,Image Copyright HLP Inc. 2025,"Description: Gray, Brown, Black fur , black stripes, Green eyes, Long stripe on the end of his tail<p/>Age: Over 1 year<p/>Location Lost: 272nd and 271st, Maple Valley WA  98038<p/>Lost Date: 2025-01-24<p/>",
K25-175796,A723085,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2899478,LOST,Daphne,Dog,Over 1 year<p/>,Female,Dachshund - Long-Haired,Black,"Jan 23, 2025",Date Lost,E  Yesler Way & 25th Ave,Seattle,,98122,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2899478,Image Copyright HLP Inc. 2025,"Description: Black and Brown long haired dachshund. <p/>Age: Over 1 year<p/>Location Lost: Yesler and 25th, Seattle WA  98122<p/>Lost Date: 2025-01-23<p/>",
K25-176345,A724151,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2907319,In Public Home,,Cat,Unknown<p/>,Unknown,Domestic Shorthair,Unknown,"Feb 14, 2025",Date Found,27400 block of  149TH PL SE,Kent,,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2907319,Image Copyright HLP Inc. 2025,<p/>Age: Unknown<p/>Found Near: 27400 block of  149TH PL SE<p/>Found Date: 2025-02-14<p/>,
K24-172751,A704553,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Torta,Cat,1 YEAR 1 MONTH,Spayed Female,Domestic Shorthair,Tortie,"Oct 10, 2024",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A704553,Image Copyright HLP Inc. 2025,"Received on: 2024-10-10<p/> Description: Tortie Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR 1 MONTH<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hello there, My name is Torta.<p/><p/>I'm currently in a foster home. This is what my current foster parents have to say about me:<p/><p/>Hi, my name is Torta!<p/>I was living at a foster home with my brother Spatlo since we were both scared of humans, but we eventually learned how nice humans can be! <p/>Both me and my sibling are high energy kitties who love chasing each other and playing with toys (especially wands!). We are also highly food motivated and have been caught multiple times biting through food bags! At our foster home we did a good job of coexisting with the senior cats, outside of stealing their food at times!<p/><p/>Of the two of us, I`m the more courageous and cleverer kitty,I`m easy to handle and pick up! When I first met the older cats, my foster dad would often have to hold me back to ensure I didn`t scare them. I also have a reputation as a troublemaker as I`m the one who finds food bags and starts breaking into them! But I`m also a purry kitty who loves head scritches and lying on a warm lap! When our foster dad was using his standing desk, we would often grab onto his leg as we wanted him to sit down with us!<p/><p/>We would probably like a quieter home as we still are shy around most people and new situations. I would like to be adopted with my brother Spatlo so we can continue to play and snuggle together!<p/>",
K24-174275,A720464,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2875308,In Public Home,,Cat,Under 1 year<p/>,Unknown,Domestic Shorthair,Black,"Nov 23, 2024",Date Found,S  203rd St & 100th Ave SE,Kent,,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2875308,Image Copyright HLP Inc. 2025,"Description: All black kitten with yellow/orange eyes<p/>Age: Under 1 year<p/>Found Near: S 203rd ST and 100th Ave SE, Kent WA  98031<p/>Found Date: 2025-03-03<p/>",
K25-176220,A718695,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A718695,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Gorgie,Rabbit Sh,4 MONTHS,Spayed Female,Rabbit Sh,Black,"Feb 11, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718695,Image Copyright HLP Inc. 2025,"Received on: 2025-02-11<p/> Description: Black<p/>  Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 4 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi there! My name is Gorgie and I'm a rabbit who is looking for a forever home. <p/><p/>I came in with Penelope, we are a bonded pair and should be adopted together. <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am adaptable and love to go with the flow! <p/><p/>",
K25-176122,A723825,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A723825,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Norman,Cat,3 YEARS,Neutered Male,Domestic Longhair,Black,"Feb 07, 2025",Received on,11100 block of  SE 208TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A723825,Image Copyright HLP Inc. 2025,"Received on: 2025-02-07<p/> Found Near: 11100 block of  SE 208TH ST<p/> Description: Black Neutered Male Domestic Longhair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176185,A723903,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905462,LOST,Mila,Cat,Under 1 year<p/>,Female,Siamese,White,"Feb 09, 2025",Date Lost,100 block of  N 100th St,Seattle,,98133,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905462,Image Copyright HLP Inc. 2025,"Description: She’s a Siamese cat with a slightly green eye and a blue one, she has brown ears and some brown and white paws <p/>Age: Under 1 year<p/>Location Lost: 104 104th ave Se, Kent WA  98031<p/>Lost Date: 2025-02-09<p/>",
K25-176735,A721950,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A721950,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rex,Dog,3 YEARS 2 MONTHS,Neutered Male,Siberian Husky / Mix,Black / White,"Mar 03, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A721950,Image Copyright HLP Inc. 2025,"Received on: 2025-03-03<p/> Description: Black / White<p/>  Neutered Male Siberian Husky / Mix Dog<p/> Age: 3 YEARS 2 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hello! My name is Rex. I came to RASKC after I escaped my home and was hit by a car. Unfortunately my owner was unable to care for me and surrendered me to RASKC so I could get help and find a new home. <p/><p/>I'm very sweet and gentle guy. I'm a bit on the shy side, possibly because of what I've been through. I'm not a big eater, but I'll do anything for someone to sit with me and relax. I'm ready for a new start after some bad luck! <p/><p/>I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",
K25-176712,A724818,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Deceased Bird,NO AGE,Male,Duck,Brown,"Mar 02, 2025",Received on,200 block of  2ND AVE N,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2025,Received on: 2025-03-02<p/> Found Near: 200 block of  2ND AVE N<p/> Description: Brown Male Duck Bird<p/> Age: NO AGE<p/>,
K25-176081,A723719,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2903697,LOST,Ace,Dog,Under 1 year<p/>,Male,Bull Terrier,Unknown,"Feb 04, 2025",Date Lost,13500 block of  MILITARY RD S,SeaTac,,98168,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2903697,Image Copyright HLP Inc. 2025,"Description: Redish brown patch covering his right eye and patch above his left eye. Front of his neck is all white and his back is allredish brown very long legs<p/>Age: Under 1 year<p/>Location Lost: 13505 Military Road South, Seattle WA  98168<p/>Lost Date: 2025-02-04<p/>",
K25-176314,A724100,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724100,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ford,Dog,2 YEARS,Neutered Male,German Shepherd / Akita,Black / White,"Feb 13, 2025",Received on,11400 block of  SE 196TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724100,Image Copyright HLP Inc. 2025,"Received on: 2025-02-13<p/> Found Near: 11400 block of  SE 196TH ST<p/> Description: Black / White Neutered Male German Shepherd / Akita Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176526,A632681,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A632681,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rocko,Dog,11 YEARS -1 MONTHS,Neutered Male,Jack Russell Terrier / Dachshund,White / Black,"Feb 23, 2025",Received on,25600 block of  98TH PL S,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A632681,Image Copyright HLP Inc. 2025,"Received on: 2025-02-23<p/> Found Near: 25600 block of  98TH PL S<p/> Description: White / Black Neutered Male Jack Russell Terrier / Dachshund Dog<p/> Age: 11 YEARS -1 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176518,A724468,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2909983,LOST,Binx,Cat,Over 1 year<p/>,Male,Maine Coon,Black,"Feb 19, 2025",Date Lost,"22400 block of  30TH AVE S,",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2909983,Image Copyright HLP Inc. 2025,"Description: 17-20 pounds, long hair, part maine coon, mostly black but some grey under his front legs and belly, big yellow eyes, he is microchipped but my info might be out of date<p/>Age: Over 1 year<p/>Location Lost: 22421 30th Ave S, 1, Seattle WA  98198<p/>Lost Date: 2025-02-19<p/>",
K25-176399,A724270,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2908396,LOST,Lucy,Dog,Over 1 year<p/>,Female,Bichon Frise,White,"Feb 17, 2025",Date Lost,400 block of  4TH AVE S,Kirkland,,98033,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2908396,Image Copyright HLP Inc. 2025,"Description: Shy with people, responds to Lucy, she has curly hair please if you have anything about her please call or text me!!! <p/>Age: Over 1 year<p/>Location Lost: 451 4th ave s, Kirkland WA  98033<p/>Lost Date: 2025-02-17<p/>",
K25-175916,A723313,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2901344,LOST,Jack,Cat,Under 1 year<p/>,Male,Domestic Mediumhair,Unknown,"Jan 28, 2025",Date Lost,26500 block of  159TH AVE SE,Covington,,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2901344,Image Copyright HLP Inc. 2025,"Description: White and black cat (like a cow). 8-9 pounds, 9 months old. No chip or collar.<p/>Age: Under 1 year<p/>Location Lost: 26512 159th Ave SE, Kent WA  98042<p/>Lost Date: 2025-01-28<p/>",
